 DEBUG root [2020-02-11 13:16:23,210] - ClientSDK::writeEntityModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Hall
 DEBUG root [2020-02-11 14:47:27,245] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2020-02-11 14:47:27,245] - ClientSDK::writeEntityModule(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins//Hall
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::writeEntityModule(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins//BattleSpace
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::writeServerErrorDescrsModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins//
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/ServerErrorDescrs.h
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/BattleSpaceBase.cs
 DEBUG root [2020-02-11 14:47:27,260] - ClientSDK::writeEngineMessagesModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins//Messages.cpp
 DEBUG root [2020-02-11 14:47:27,276] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/EntityCallBattleSpaceBase.cs
 DEBUG root [2020-02-11 14:47:27,276] - ClientSDK::writeEntityModule(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins//Avatar
 DEBUG root [2020-02-11 14:47:27,276] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/AvatarBase.cs
 DEBUG root [2020-02-11 14:47:27,276] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/Messages.cpp
 DEBUG root [2020-02-11 14:47:27,276] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/EntityCallAvatarBase.cs
 DEBUG root [2020-02-11 14:47:27,276] - ClientSDK::writeEntityModule(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins//Gold
 DEBUG root [2020-02-11 14:47:27,291] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/GoldBase.cs
 DEBUG root [2020-02-11 14:47:27,291] - ClientSDK::saveFile(): Z://Desktop/MyHometown/Assets/Kbengine/kbengine_unity3d_plugins/EntityCallGoldBase.cs
 DEBUG root [2020-02-11 14:47:27,291] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/Messages.h
 DEBUG root [2020-02-11 14:47:27,307] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/KBETypes.h
  INFO root [2020-02-11 14:47:27,307] - Script::uninstall(): is successfully!
 DEBUG root [2020-02-11 14:47:27,307] - ThreadPool::destroy(): starting size 2.
 DEBUG root [2020-02-11 14:47:27,323] - ClientSDK::writeEntityDefsModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins//EntityDef.cpp
